product,day,horizon,n,sum,mean,std,tstat
HYDROGEL_PACK,0,10,401,-18173.5,-45.32044887780549,80.81190364896487,-11.230292080137756
HYDROGEL_PACK,0,50,401,-8802.0,-21.950124688279303,108.96005814314721,-4.034055339459123
HYDROGEL_PACK,0,100,401,12189.0,30.39650872817955,148.40064608479503,4.101664170527275
HYDROGEL_PACK,0,500,401,45459.5,113.36533665835411,319.75766318032555,7.099561195443929
HYDROGEL_PACK,0,1000,401,36140.5,90.12593516209476,329.35586795485375,5.479697253817033
HYDROGEL_PACK,0,5000,401,71700.0,178.80299251870323,410.3351891106419,8.725859321588985
HYDROGEL_PACK,1,10,227,-6200.5,-27.314977973568283,67.71821406201151,-6.0772665826760015
HYDROGEL_PACK,1,50,227,5104.5,22.486784140969164,123.55530713918107,2.742072131507562
HYDROGEL_PACK,1,100,227,6002.5,26.44273127753304,169.05943817661583,2.3565671463528473
HYDROGEL_PACK,1,500,227,12916.0,56.89867841409691,224.9875637248702,3.810277399647052
HYDROGEL_PACK,1,1000,227,13576.0,59.80616740088106,376.2588296934912,2.3948162719853094
HYDROGEL_PACK,1,5000,227,58020.5,255.59691629955947,389.28970881770283,9.892262119551557
HYDROGEL_PACK,2,10,250,-10585.0,-42.34,81.65662496086891,-8.198406203764343
HYDROGEL_PACK,2,50,250,-11615.5,-46.462,155.4625406842433,-4.725438809891865
HYDROGEL_PACK,2,100,250,-5102.0,-20.408,148.3620151386466,-2.1749422326330166
HYDROGEL_PACK,2,500,250,7512.0,30.048,404.5324408449834,1.1744437471351168
HYDROGEL_PACK,2,1000,250,53391.5,213.566,436.16009749173526,7.742053831326435
HYDROGEL_PACK,2,5000,250,27301.5,109.206,165.50200169182244,10.433097202032558
VELVETFRUIT_EXTRACT,0,10,639,-1540.5,-2.4107981220657275,41.852943526538425,-1.4560800988731484
VELVETFRUIT_EXTRACT,0,50,639,698.5,1.0931142410015648,77.43860923239562,0.3568275982163933
VELVETFRUIT_EXTRACT,0,100,639,373.5,0.5845070422535211,96.6217755293657,0.1529203077004403
VELVETFRUIT_EXTRACT,0,500,639,5417.0,8.477308294209703,163.37915387264454,1.3116312760944207
VELVETFRUIT_EXTRACT,0,1000,639,19091.0,29.87636932707355,227.50500427238484,3.319611761074714
VELVETFRUIT_EXTRACT,0,5000,639,19004.0,29.740219092331767,162.0071743246556,4.640452647921941
VELVETFRUIT_EXTRACT,1,10,645,-575.5,-0.8922480620155039,39.68937063569848,-0.5709410355436391
VELVETFRUIT_EXTRACT,1,50,645,569.5,0.8829457364341086,82.11609207316887,0.27307729868041924
VELVETFRUIT_EXTRACT,1,100,645,5954.0,9.231007751937984,96.74525471482903,2.4232560216755417
VELVETFRUIT_EXTRACT,1,500,645,5899.5,9.146511627906976,191.93361822687737,1.2102756557076855
VELVETFRUIT_EXTRACT,1,1000,645,16633.5,25.788372093023256,236.2158432312997,2.7726481591914784
VELVETFRUIT_EXTRACT,1,5000,645,8911.0,13.815503875968993,250.80251208811157,1.398990302896727
VELVETFRUIT_EXTRACT,2,10,675,-863.0,-1.2785185185185186,37.23019759039733,-0.8922027718688229
VELVETFRUIT_EXTRACT,2,50,675,1642.0,2.4325925925925924,66.35461616098051,0.9524674110684679
VELVETFRUIT_EXTRACT,2,100,675,-19.5,-0.028888888888888888,93.43399481802285,-0.008033000744625509
VELVETFRUIT_EXTRACT,2,500,675,12121.5,17.95777777777778,198.15960475844892,2.3544493495576777
VELVETFRUIT_EXTRACT,2,1000,675,4541.0,6.727407407407408,249.5536395779709,0.7003831792966626
VELVETFRUIT_EXTRACT,2,5000,675,11053.0,16.374814814814815,476.14886510006176,0.8934814288961057
VEV_4000,0,10,86,31.5,0.36627906976744184,12.033244748526227,0.2822790051140882
VEV_4000,0,50,86,-111.0,-1.2906976744186047,25.660967680583443,-0.4664453022415997
VEV_4000,0,100,86,47.5,0.5523255813953488,32.983789981874665,0.1552901206919523
VEV_4000,0,500,86,254.0,2.953488372093023,55.16948663231443,0.496461469293979
VEV_4000,0,1000,86,1255.5,14.598837209302326,72.11476721040364,1.877341520938665
VEV_4000,0,5000,86,236.0,2.744186046511628,57.478749570988896,0.4427468354123006
VEV_4000,1,10,87,103.5,1.1896551724137931,11.550300135253078,0.9606992550525654
VEV_4000,1,50,87,-115.0,-1.3218390804597702,28.35560081830763,-0.4348098363225054
VEV_4000,1,100,87,-234.5,-2.6954022988505746,33.66188850141705,-0.7468695329107259
VEV_4000,1,500,87,602.0,6.919540229885057,61.0040451628037,1.0579818834143193
VEV_4000,1,1000,87,1049.5,12.063218390804598,82.69427854806213,1.3606529073934748
VEV_4000,1,5000,87,2582.5,29.683908045977013,82.69536655154866,3.348108529747795
VEV_4000,2,10,86,47.0,0.5465116279069767,10.383805567508393,0.48808120564392576
VEV_4000,2,50,86,277.0,3.2209302325581395,25.855772223513306,1.155242160982099
VEV_4000,2,100,86,79.0,0.9186046511627907,34.59313855755653,0.24625661152132694
VEV_4000,2,500,86,-638.0,-7.4186046511627906,74.54274801598028,-0.9229242432683744
VEV_4000,2,1000,86,327.5,3.808139534883721,87.52863878849354,0.40347060931065915
VEV_4000,2,5000,86,5291.0,61.52325581395349,139.07486914108162,4.102417687271861
VEV_4500,0,10,77,-463.5,-6.01948051948052,25.69582834888447,-2.055614883158079
VEV_4500,0,50,77,-681.0,-8.844155844155845,35.227393021519426,-2.2030342274151655
VEV_4500,0,100,77,-347.5,-4.512987012987013,35.31573487892886,-1.1213500286908178
VEV_4500,0,500,77,371.0,4.818181818181818,70.21474061257805,0.6021438446922338
VEV_4500,0,1000,77,1849.0,24.01298701298701,91.68983479843045,2.298107596519277
VEV_4500,0,5000,77,704.0,9.142857142857142,59.467925281543835,1.3491011406191489
VEV_4500,1,10,84,-86.5,-1.0297619047619047,17.00828775404106,-0.5549014626980473
VEV_4500,1,50,84,-338.0,-4.023809523809524,33.342728267864814,-1.1060529646407466
VEV_4500,1,100,84,-364.0,-4.333333333333333,34.25537265241112,-1.159399327689263
VEV_4500,1,500,84,524.5,6.244047619047619,73.0342586787847,0.7835725692251426
VEV_4500,1,1000,84,1152.0,13.714285714285714,108.84743270028089,1.1547677483771028
VEV_4500,1,5000,84,2749.0,32.726190476190474,98.56933155694405,3.0429392732169864
VEV_4500,2,10,72,-494.0,-6.861111111111111,23.596613195986148,-2.467237896987502
VEV_4500,2,50,72,-319.5,-4.4375,34.5511836004853,-1.0897871555883478
VEV_4500,2,100,72,-143.0,-1.9861111111111112,39.18394762582262,-0.43009223519820333
VEV_4500,2,500,72,-698.5,-9.70138888888889,69.07125244801671,-1.1917984910594681
VEV_4500,2,1000,72,-101.5,-1.4097222222222223,88.30629800070608,-0.1354590780713827
VEV_4500,2,5000,72,3519.5,48.88194444444444,165.9826064568789,2.498918781822872
VEV_5000,0,10,38,-59.0,-1.5526315789473684,10.809224541106332,-0.8854533283416632
VEV_5000,0,50,38,-228.5,-6.0131578947368425,21.509632738706085,-1.7233020748735037
VEV_5000,0,100,38,-228.0,-6.0,30.404509707053588,-1.2164801989631593
VEV_5000,0,500,38,-55.5,-1.4605263157894737,50.54276219449534,-0.17813210995694012
