product,signal,round1_corr_h1,round2_corr_h1,round1_abs_rank,round2_abs_rank,sign_consistent,round1_day_min_corr,round1_day_max_corr,round2_day_min_corr,round2_day_max_corr,round1_sign_flip_within_round,round2_sign_flip_within_round,carryover_hint
ASH_COATED_OSMIUM,wall_delta,0.5880658599418147,0.5876134626917792,1,1,True,0.5811514625683251,0.5967217651821346,0.5794223091530909,0.5918307714576155,False,False,carries_over_directly
ASH_COATED_OSMIUM,mm_delta,0.5535593722475097,0.5433279426840527,3,3,True,0.5459027553750914,0.5623383081676347,0.5342070055135177,0.548547664598594,False,False,carries_over_directly
ASH_COATED_OSMIUM,micro_delta,0.49870788390076704,0.5033565635542112,5,5,True,0.4814645951206624,0.511397237837711,0.49620774584346905,0.5108243730164654,False,False,carries_over_directly
ASH_COATED_OSMIUM,z20,-0.542287445289863,-0.5374371015224477,4,4,True,-0.5439893014699321,-0.5402692403399753,-0.54091668753347,-0.5322794199370992,False,False,carries_over_directly
ASH_COATED_OSMIUM,ret1,-0.49370484000429615,-0.4818413056550978,6,6,True,-0.5043616806206066,-0.4867296399363226,-0.4885773163746149,-0.4685935439516142,False,False,carries_over_directly
ASH_COATED_OSMIUM,imbalance,-0.07652408956327351,-0.09167602871009822,7,7,True,-0.08158420138432726,-0.07320161925327033,-0.09904312300780653,-0.0840533919402217,False,False,carries_over_directly
ASH_COATED_OSMIUM,imb_l1,0.5861270783711912,0.5857181054668814,2,2,True,0.5732545692633028,0.5939384477055965,0.5802358944338526,0.5923358389695892,False,False,carries_over_directly
ASH_COATED_OSMIUM,ofi_5,-0.0007351614003446798,0.005874702350165325,9,9,False,-0.005933849466137515,0.006718013454040504,0.002750411417680697,0.008255905719584468,True,False,weak_both_rounds
ASH_COATED_OSMIUM,spread_chg,-0.033868339182776055,-0.05404086950964935,8,8,True,-0.054983933743575616,-0.02057007053258794,-0.06188443715949211,-0.04468921581041267,False,False,stronger_in_round2
INTARIAN_PEPPER_ROOT,wall_delta,0.06705363341403495,0.5728680830768275,3,2,True,0.03706730024687915,0.5749120953226255,0.5692895852153508,0.5753730194584631,False,False,carries_over_with_retuning
INTARIAN_PEPPER_ROOT,mm_delta,0.06865139489461548,0.5383861499049097,2,4,True,0.04542296542302293,0.5456081882898969,0.5358264219059418,0.5410908974050898,False,False,carries_over_with_retuning
INTARIAN_PEPPER_ROOT,micro_delta,0.03950474343908424,0.4639384903203234,5,6,True,0.012953127370019173,0.4599696029747064,0.44177699358737044,0.4760374495016979,False,False,stronger_in_round2
INTARIAN_PEPPER_ROOT,z20,-0.07039156082123475,-0.6370650618798713,1,1,True,-0.627795860121077,-0.03999780786825136,-0.6434367053966596,-0.6336714223884374,False,False,carries_over_with_retuning
INTARIAN_PEPPER_ROOT,ret1,-0.007206327070733499,-0.4946864164346593,7,5,True,-0.07548162625988937,-0.007164260605929295,-0.4957605580820085,-0.49220190073456654,False,False,stronger_in_round2
INTARIAN_PEPPER_ROOT,imbalance,-0.015129725337643526,-0.11735057349741387,6,7,True,-0.12574280550209874,-0.0028154239000632107,-0.1259463975577573,-0.11099356323026492,False,False,stronger_in_round2
INTARIAN_PEPPER_ROOT,imb_l1,0.054851082872207205,0.5693744978951779,4,3,True,0.025364293962726877,0.5675055292766625,0.5525715627114448,0.5819058873428903,False,False,carries_over_with_retuning
INTARIAN_PEPPER_ROOT,ofi_5,0.0011853772136368008,-0.0016696395183963943,9,9,False,-0.015579115217987478,0.010646927145519037,-0.011776330598226047,0.006013828447979508,True,True,weak_both_rounds
INTARIAN_PEPPER_ROOT,spread_chg,-0.0048381886103685615,-0.02209453838943037,8,8,True,-0.04834746678679318,-0.002304276193134692,-0.04139659817094816,-0.01238233863644632,False,False,mixed
