set,timestamp,delta_total,total,ASH_COATED_OSMIUM,INTARIAN_PEPPER_ROOT
prices_round_2_day_1,679100,-1094160.0,-1024878.0,13881.0,-1038759.0
prices_round_2_day_1,559900,-1084800.0,-1026850.0,12272.0,-1039122.0
prices_round_2_day_1,553900,-1083782.0,-1027088.0,12034.0,-1039122.0
prices_round_2_day_1,536500,-1082920.0,-1027349.0,11816.0,-1039165.0
prices_round_2_day_1,524300,-1081800.0,-1027457.0,11708.0,-1039165.0
prices_round_2_day_1,415300,-1073452.0,-1030516.0,8950.0,-1039466.0
prices_round_2_day_1,283700,-1062656.5,-1033907.0,5952.0,-1039859.0
prices_round_2_day_1,483100,-1051663.5,-1001432.5,10788.5,-1012221.0
prices_round_2_day_1,40300,-1043220.0,-1039325.0,1023.0,-1040348.0
prices_round_2_day_1,541700,-1042879.5,-986678.0,11858.0,-998536.0
prices_round_2_day_1,15600,-1041082.5,-1040147.0,296.0,-1040443.0
prices_round_2_day_1,333200,-1026539.0,-992492.0,7228.0,-999720.0
prices_round_2_day_1,331800,-1026440.5,-992585.5,7134.5,-999720.0
prices_round_2_day_1,143800,-998949.5,-984924.0,2676.0,-987600.0
prices_round_2_day_1,6500,-936324.0,-936336.0,67.0,-936403.0
prices_round_2_day_1,915900,-932319.0,-836905.5,19934.5,-856840.0
prices_round_2_day_1,449300,-650677.5,45682.5,9039.0,36643.5
prices_round_2_day_1,910200,-510146.5,-415111.5,-490175.0,75063.5
prices_round_2_day_1,271200,-500215.5,-472797.0,-494070.0,21273.0
prices_round_2_day_1,21800,-450180.0,1745.0,428.0,1317.0
prices_round_2_day_1,194300,-430129.0,19095.0,3684.0,15411.0
prices_round_2_day_1,389700,-429630.5,39943.5,8209.5,31734.0
prices_round_2_day_1,916800,-390580.5,-294558.5,-370124.0,75565.5
prices_round_2_day_1,17000,-390114.0,1201.0,284.0,917.0
prices_round_2_day_1,438100,-380038.0,44992.0,9291.0,35701.0
