product,fill_kind,side,fill_count,quantity,avg_price,edge_h5_avg,edge_h20_avg
ASH_COATED_OSMIUM,aggressive,buy,145,757,9997.0198,1.6618,1.6011
ASH_COATED_OSMIUM,aggressive,sell,153,841,10003.956,0.4245,-0.0556
ASH_COATED_OSMIUM,passive,buy,217,1079,9993.6747,7.3698,7.5871
ASH_COATED_OSMIUM,passive,sell,204,1066,10008.2017,7.795,7.1792
INTARIAN_PEPPER_ROOT,aggressive,buy,110,571,12466.0508,3.3538,4.5429
INTARIAN_PEPPER_ROOT,aggressive,sell,114,609,12521.0148,3.0616,0.7233
INTARIAN_PEPPER_ROOT,passive,buy,72,293,12585.3276,7.029,8.2082
INTARIAN_PEPPER_ROOT,passive,sell,37,175,12695.12,6.6229,5.7229
